state,total_pop,men,women,hispanic_prcnt,hispanic_count,white_prcnt,white_count,black_prcnt,black_count,native_prcnt,native_count,asian_prcnt,asian_count,pacific_prcnt,pacific_count,citizen,poverty_prcnt, poverty_count,childpoverty_prcnt,childpoverty_count,professional_prcnt,professional_count,service_prcnt,service_count,office_prcnt,office_count,construction_prcnt,construction_count,production_prcnt,production_count,drive_prcnt,drive_count,carpool_prcnt,carpool_count,transit_prcnt,transit_count,walk_prcnt,walk_count,othertrans_prcnt,othertrans_count,employed,privatework_prcnt,privatework_count,workathome_prcnt,workathome_count,meancommute,public_prcnt,public_count,selfemploy_prcnt,selfemploy_count,unemploy_prcnt,unemploy_count,familywork_prcnt,familywork_count
Alabama,4830620,2341093,2489527,3.999311827,193191.557,66.34114184,3204688.466,26.30282283,1270589.42,0.456165627,22035.628,1.228718094,59354.702,0.022674481,1095.318,3620994,18.84880814,910514.296,27.2948536,1318510.657,32.76891703,1582941.86,16.81237775,812142.082,24.04106649,1161332.566,10.0605921,485988.974,16.31214062,787977.527,85.42353685,4126486.456,9.245189727,446599.984,0.407581284,19688.703,1.1213337,54167.37,1.04154446,50313.055,2022325,78.22372035,3778690.68,2.743343898,132520.519,25.92985075,16.31337932,788037.364,5.279787419,255046.467,9.408100782,454469.598,0.187899773,9076.724
Alaska,733375,384160,349215,6.527631975,47872.021,62.37639216,457452.866,3.221663678,23626.876,13.41634825,98392.144,5.772952991,42337.394,1.179332811,8648.932,523946,10.17569211,74625.982,13.58529402,99631.15,36.10530656,264787.292,17.56788778,128838.497,22.74032139,166771.832,12.66991825,92918.013,10.93125032,80167.057,66.86735817,490388.488,12.56573172,92153.935,1.569593728,11511.008,8.241294699,60439.595,6.143167138,45052.452,351108,67.9354299,498221.459,4.622103017,33897.348,11.22758621,25.58547783,187637.498,6.296243668,46175.077,8.446447861,61944.137,0.18537024,1359.459
Arizona,6641928,3299088,3342840,30.33852314,2015062.863,56.48865314,3751935.67,3.959995291,263020.036,4.002505071,265843.505,2.917962676,193808.98,0.174525725,11591.873,4526594,18.22300151,1210358.64,25.96379431,1724496.524,34.74394673,2307667.926,20.11282013,1335879.032,26.12262754,1735046.113,9.370591175,622387.919,9.719179732,645540.92,76.52867327,5082979.378,11.10076889,737305.077,2.036389344,135255.514,2.105628396,139854.322,2.724845421,180982.271,2813406,78.76669252,5231627.005,5.524897003,366959.681,21.72,15.16241183,1007076.477,5.932035819,394001.548,9.092709722,603931.233,0.195909411,13012.162
Arkansas,2958208,1451913,1506295,6.870798842,203252.521,73.59632402,2177132.345,15.43641441,456641.246,0.56005406,16567.564,1.352032988,39995.948,0.22428122,6634.705,2164083,19.32114672,571559.708,27.76185116,821253.302,31.57453063,934040.291,17.18032501,508229.749,23.73403584,702102.147,10.86323906,321357.207,16.64877581,492505.418,82.46239659,2439409.213,10.87056181,321573.829,0.425380737,12583.647,1.774710805,52499.637,1.256410536,37167.237,1256081,76.99293386,2277611.129,3.189730776,94358.871,23.168,16.45503808,486774.253,6.359777845,188135.457,7.814722528,231175.747,0.194198042,5744.782
California,38421464,19087135,19334329,38.3809738,14746532.03,38.72503547,14878725.56,5.616551613,2157961.356,0.376622799,144703.993,13.51513162,5192711.429,0.346865663,133270.866,24280349,16.29426174,6260493.91,21.99727972,8451676.91,36.71275093,14105576.38,18.88048017,7254156.891,23.74572444,9123454.968,9.458108718,3633943.836,11.21751043,4309931.733,73.73619696,28330526.37,10.91267201,4192808.346,4.913541715,1887854.661,2.649466129,1017963.675,2.494317268,958353.211,17246360,77.52494218,29786217.75,5.275353802,2026868.162,24.96551724,14.04237988,5395287.932,8.274415379,3179151.526,10.00909406,3845640.47,0.200954339,77209.599
Colorado,5278906,2648667,2630239,21.07587496,1112575.628,69.06542869,3645899.059,3.843867896,202914.173,0.547285858,28890.706,2.857732,150856.986,0.115567184,6100.683,3750953,12.71354749,671136.221,16.80433938,887085.28,40.05653558,2114546.86,17.58882195,928497.377,23.84450882,1258729.207,9.506162546,501821.385,9.020645206,476191.381,75.44704571,3982778.623,9.591715897,506337.666,3.043118063,160643.342,2.956439573,156067.666,2.360321968,124599.178,2624436,79.20826006,4181329.593,6.604850077,348663.827,21.1703125,14.19201924,749183.355,6.419765232,338893.372,7.032040048,371214.784,0.195734059,10332.617
Connecticut,3593222,1751607,1841615,14.67364869,527256.773,69.22953669,2487570.943,9.657835864,347027.483,0.115310409,4143.359,4.154947732,149296.496,0,0,2574178,10.51374246,377782.107,14.30258768,513923.727,41.68496419,1497833.304,17.81105735,639990.831,23.53837008,845785.892,7.39224437,265619.751,9.600744012,344976.046,78.30221876,2813572.551,8.227782169,295642.479,4.877083075,175244.422,3.015348787,108348.176,1.167813288,41962.124,1781417,80.27112433,2884319.699,4.376932764,157272.911,25.4875,13.19044242,473961.879,6.306344445,226600.956,8.82201161,316994.462,0.168179172,6043.051
Delaware,926454,448413,478041,8.705993498,80657.025,63.86994314,591725.643,21.05731121,195086.302,0.295562003,2738.246,3.596742094,33322.161,0,0,681606,12.05273753,111663.069,17.57405408,162815.527,38.08116442,352804.471,18.58532005,172184.441,24.13430715,223593.254,8.61441982,79808.637,10.64411617,98612.84,81.13474765,751676.115,8.403599855,77855.487,2.972028293,27534.475,2.167844923,20084.086,1.134255128,10508.352,433816,81.19366067,752221.917,4.187524151,38795.485,25.53333333,14.68497076,136049.499,3.984775499,36917.112,7.717220499,71496.498,0.136593074,1265.472
District of Columbia,647484,306674,340810,10.2,66043.368,35.6,230504.304,48,310792.32,0.2,1294.968,3.6,23309.424,0,0,485116,18,116547.12,26.7,172878.228,60.9,394317.756,15.2,98417.568,17.4,112662.216,2.9,18777.036,3.7,23956.908,33.7,218202.108,5.7,36906.588,37.4,242159.016,12.9,83525.436,5.2,33669.168,337815,70,453238.8,5,32374.2,29.7,25.4,164460.936,4.4,28489.296,9.6,62158.464,0.1,647.484
Florida,19645772,9600009,10045763,23.73098312,4662134.837,56.0595532,11013332.01,15.44263917,3033825.682,0.210321956,41319.372,2.543774518,499744.142,0.039270195,7714.933,13933052,16.5641159,3254148.443,24.07742799,4730196.606,33.77585668,6635527.795,20.6505879,4056967.416,27.29688928,5362684.632,9.154330947,1798438.986,9.119582885,1791612.461,79.62243277,15642441.6,9.502783617,1866895.203,2.034543198,399701.718,1.449283189,284722.871,2.235513886,439183.961,8541291,81.3180439,15975557.5,5.124702007,1006787.272,25.94776119,12.60436021,2476223.868,5.918336144,1162702.825,9.735170254,1912549.352,0.155830735,30614.151
Georgia,10006693,4883331,5123362,9.139446059,914556.309,54.56741428,5460393.625,30.52231714,3054274.573,0.187397285,18752.271,3.581418646,358381.569,0.023997938,2401.4,6978660,18.476759,1848912.549,26.36027006,2637791.299,35.29117082,3531479.12,17.09761421,1710905.764,24.71130195,2472784.122,9.347104973,935336.099,13.53650168,1354556.166,79.7692165,7982260.604,10.37415423,1038109.765,1.981056589,198238.251,1.58855523,158961.845,1.593341227,159440.765,4388274,78.71225611,7876493.822,4.700645678,470379.182,25.44402516,15.57255001,1558297.272,5.527299468,553099.889,9.695397081,970188.621,0.172390689,17250.607
Hawaii,1406299,709871,696428,9.855651892,138599.934,22.92621263,322411.099,1.929651233,27136.666,0.132181634,1858.869,36.74750626,516779.813,9.081180034,127708.544,1001729,11.23296276,157969.043,15.20911634,213885.651,34.05982398,478982.964,22.720701,319520.991,24.79572289,348702.003,9.786642599,137629.457,8.637115578,121463.67,66.91372773,941007.084,14.04682809,197540.403,6.391151739,89878.703,4.488630725,63123.569,3.530258359,49645.988,653284,72.15678067,1014740.085,4.63806374,65225.044,21.24,20.65172257,290424.968,6.919122889,97303.556,6.078854568,85486.871,0.188774293,2654.731
Idaho,1616547,810464,806083,11.83905844,191383.944,83.04433085,1342450.639,0.577459734,9334.908,1.080599141,17468.393,1.285823363,20785.939,0.118027004,1907.962,1130550,15.473844,250141.961,19.01257557,307347.22,33.12980445,535558.86,18.02464017,291376.78,24.00912519,388118.793,12.13200303,196119.531,12.70771509,205426.187,77.90126554,1259310.571,10.07103085,162802.947,0.758967602,12269.068,3.027176878,48935.737,2.347484855,37948.196,715861,76.2152895,1232055.976,5.930069648,95862.363,21.23863636,15.83925732,256049.039,7.678502636,124126.604,7.230461038,116883.801,0.284152332,4593.456
